r,simulation_fullness,theoretical_fullness
1,0.7236244577360696,0.6910681874667137
2,0.6883828954500724,0.6889978744016609
3,0.6865636373963035,0.6869362400091408
4,0.6838201962852442,0.6848832820313455
5,0.6827558325849232,0.6828389973106108
6,0.6804856731513442,0.680803381792694
7,0.6867615413361976,
8,0.6775566207109139,0.6767581376913969
9,0.6837079335481812,
10,0.6729369099057172,0.6727474995428286
11,0.6770729507585427,0.6765270378844296
12,0.6688182512829153,0.6687714031754282
13,0.6876020084769383,
14,0.69958750318692,0.6994468154394629
15,0.6631824017059007,0.6628718503718511
16,0.6910852168160817,
17,0.6789859365255063,
18,0.6920884157707893,0.6916404428904435
19,0.6748272869887872,
20,0.6541644491928762,0.6532106782106784
21,0.6852583055542006,0.6858712121212123
22,0.6849385597212049,
23,0.6845194811129195,
24,0.6453836150487838,0.6456349206349206
25,0.6722403822529364,0.6725363756613756
26,0.6995126956293184,0.6994378306878306
27,0.6832035677609729,
28,0.6715927404880003,
29,0.667539769281888,
30,0.634826257985304,0.6345238095238095
31,0.6557897673803993,0.6556746031746032
32,0.6766024691363302,0.6768253968253968
33,0.6984959635022892,0.6979761904761905
34,0.719377635743546,0.7191269841269841
35,0.6717512713416245,
36,0.656196964841615,
37,0.6752739586662374,
38,0.6697108747973346,
39,0.6644504523601583,
40,0.6166115952405898,0.6166666666666665
41,0.6323547155283162,0.6320833333333331
42,0.6470728430971778,0.6474999999999999
43,0.662435140163999,0.6629166666666665
44,0.6780938952640344,0.6783333333333331
45,0.6937264584302449,0.6937499999999998
46,0.7088416900029879,0.7091666666666664
47,0.7242146582710586,0.7245833333333331
48,0.6992016110259622,
49,0.6823818030832666,
50,0.672237079383357,
51,0.6671381804119589,
52,0.6500210405544482,
53,0.6620221648859612,
54,0.6743484206054532,
55,0.6871206731558221,
56,0.6456235100196346,
57,0.6578227760544422,
58,0.6455229247506571,
59,0.63823960548408,
60,0.5832734953424223,0.583333333333333
61,0.592925782774941,0.5930555555555552
62,0.6027452358598977,0.6027777777777775
63,0.6121489422885306,0.6124999999999997
64,0.6220998157329809,0.6222222222222219
65,0.6318638711202924,0.6319444444444441
66,0.6414605365888824,0.6416666666666664
67,0.6512809390612186,0.6513888888888886
68,0.661023510458432,0.6611111111111108
69,0.6708620494694977,0.670833333333333
70,0.6806729144016878,0.6805555555555552
71,0.6902385689288923,0.6902777777777774
72,0.7001715055743862,0.6999999999999996
73,0.7100819728217161,0.7097222222222218
74,0.7198103135928654,0.7194444444444441
75,0.7296864526557713,0.7291666666666663
76,0.739764403094678,0.7388888888888885
77,0.7491050186183206,0.7486111111111108
78,0.7585283614571191,0.758333333333333
79,0.7680844088983892,0.7680555555555552
80,0.7162500783872612,
81,0.687775829516595,
82,0.6727897639380792,
83,0.6804274281146545,
84,0.6499646195577982,
85,0.6573792195201743,
86,0.6654970295491199,
87,0.6723579965456152,
88,0.6804744545559144,
89,0.6545009849721574,
90,0.613288240158243,
91,0.6200226092170321,
92,0.6268634450107418,
93,0.6333988374324342,
94,0.6407239626376451,
95,0.6472703873056801,
96,0.65377429206767,
97,0.6606913266524357,
98,0.6677189929348154,
99,0.6742472540488486,
100,0.6813504327363273,
101,0.6878675339568462,
102,0.6946893342830487,
103,0.6548055860295976,
104,0.6482856013458296,
105,0.6161750015303377,
106,0.6217003858675351,
107,0.6277144966970022,
108,0.6336003091190178,
109,0.6393574297649465,
110,0.6455551808955018,
111,0.6506856428012588,
112,0.6285491626143731,
113,0.6106740627029994,
114,0.6163751716325271,
115,0.6217768251324085,
116,0.6067766455679174,
117,0.6006476151360115,
118,0.5889908968661925,
119,0.5760410819589116,
120,0.5,0.5
